conversation_id,n_comments,s80,s90
9dazte,21,0.6666666666666666,0.8095238095238095
9db9et,97,0.5876288659793815,0.8041237113402062
9dbfl4,28,0.6071428571428571,0.8214285714285714
9dbi5k,236,0.5508474576271186,0.7754237288135594
9dbylu,167,0.6467065868263473,0.8383233532934131
9dc8kq,46,0.6956521739130435,0.8478260869565217
9dca2p,157,0.6242038216560509,0.802547770700637
9dcqi0,22,0.7272727272727273,0.8636363636363636
9dcsyt,26,0.7307692307692307,0.8461538461538461
9dczd3,24,0.5833333333333334,0.8333333333333334
9dd2t5,27,0.6296296296296297,0.8148148148148148
9dd6t0,54,0.6666666666666666,0.8333333333333334
9ddb3t,32,0.5,0.75
9ddfvw,39,0.6923076923076923,0.8205128205128205
9ddhcr,29,0.6206896551724138,0.7931034482758621
9ddhgd,48,0.6875,0.8541666666666666
9ddrzn,21,0.5714285714285714,0.7619047619047619
9de6by,26,0.6153846153846154,0.8461538461538461
9decmn,25,0.64,0.84
9decu5,41,0.6585365853658537,0.8536585365853658
9dexqt,29,0.5862068965517241,0.7931034482758621
9df0fz,72,0.5833333333333334,0.7916666666666666
9df4v9,22,0.6363636363636364,0.8181818181818182
9df7os,43,0.6046511627906976,0.7906976744186046
9dfbwr,23,0.6956521739130435,0.8695652173913043
9dfn3a,62,0.6935483870967742,0.8548387096774194
9dfo31,37,0.5945945945945946,0.8108108108108109
9dfzfk,20,0.75,0.85
9dg0n7,22,0.6363636363636364,0.8181818181818182
9dg6ti,42,0.6190476190476191,0.8333333333333334
9dgpjv,39,0.6153846153846154,0.8461538461538461
9dguux,39,0.5641025641025641,0.7948717948717948
9dgwqq,100,0.58,0.77
9dgy2l,29,0.6551724137931034,0.7931034482758621
9dh1rm,260,0.5538461538461539,0.7692307692307693
9dhbtc,70,0.6428571428571429,0.8142857142857143
9dhers,39,0.5128205128205128,0.7692307692307693
9dhkia,32,0.6875,0.8125
9dhszv,63,0.6507936507936508,0.8412698412698413
9dhtuv,39,0.5641025641025641,0.7948717948717948
9dhxf9,28,0.6428571428571429,0.7857142857142857
9di1et,34,0.6764705882352942,0.8235294117647058
9di2q9,45,0.5777777777777777,0.8
9di3f1,43,0.627906976744186,0.7674418604651163
9di7bc,38,0.631578947368421,0.8157894736842105
9diaa4,207,0.6521739130434783,0.8019323671497585
9diccv,30,0.6666666666666666,0.8333333333333334
